product,ingred_row,ingred_name,function_ingredient_id,ingred_index
13100,15,DL-메치오닌,,6371
13100,16,크랜베리,,3880
13100,17,L-카르니틴,,7153
13100,18,알긴산나트륨,,7310
13100,19,타우린,,6429
13100,20,키토산,,8862
13100,21,L-라이신,,6390
13100,22,초유단백분말,,6265
13100,23,후코이단,,9126
13100,24,프로비타민A(베타카로틴),,15113
13101,1,정제수,,824
13101,2,실꼬리돔,,5716
13101,3,연어,,5287
13101,4,타피오카전분,,2790
13101,5,닭기름,,911
13101,6,다시마추출액,,15095
13101,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
13101,8,프락토올리고당,,8893
13101,9,옵티마이저,,15105
13101,10,젖산칼슘,,7472
13101,11,우뭇가사리(한천),,15106
13101,12,치커리추출물,,9468
13101,13,프리미엄생유산균 19종,,15114
13101,14,MEG-3,,15089
13101,15,DL-메치오닌,,6371
13101,16,글리신,,6434
13101,17,감태,,15092
13101,18,알긴산나트륨,,7310
13101,19,타우린,,6429
13101,20,키토산,,8862
13101,21,L-라이신,,6390
13101,22,초유단백분말,,6265
13101,23,L-트립토판,,6416
13101,24,프로비타민A(베타카로틴),,15113
13102,1,정제수,,824
13102,2,실꼬리돔,,5716
13102,3,가다랑어(참치),,15090
13102,4,타피오카전분,,2790
13102,5,닭기름,,911
13102,6,다시마추출액,,15095
13102,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
13102,8,프락토올리고당,,8893
13102,9,옵티마이저,,15105
13102,10,젖산칼슘,,7472
13102,11,우뭇가사리(한천),,15106
13102,12,치커리추출물,,9468
13102,13,프리미엄생유산균 19종,,15114
13102,14,MEG-3,,15089
13102,15,DL-메치오닌,,6371
13102,16,글리신,,6434
13102,17,감태,,15092
13102,18,알긴산나트륨,,7310
13102,19,타우린,,6429
13102,20,키토산,,8862
13102,21,L-라이신,,6390
13102,22,초유단백분말,,6265
13102,23,L-트립토판,,6416
13102,24,프로비타민A(베타카로틴),,15113
13103,1,정제수,,824
13103,2,실꼬리돔,,5716
13103,3,연어,,5287
13103,4,타피오카전분,,2790
13103,5,닭기름,,911
13103,6,다시마추출액,,15095
13103,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
13103,8,프락토올리고당,,8893
13103,9,옵티마이저,,15105
13103,10,젖산칼슘,,7472
13103,11,우뭇가사리(한천),,15106
13103,12,치커리추출물,,9468
13103,13,프리미엄생유산균 19종,,15114
13103,14,MEG-3,,15089
13103,15,DL-메치오닌,,6371
13103,16,스피루리나,,3585
13103,17,알긴산나트륨,,7310
13103,18,타우린,,6429
13103,19,키토산,,8862
13103,20,L-라이신,,6390
13103,21,초유단백분말,,6265
13103,22,비타민C(StayC),,15100
13103,23,프로비타민A(베타카로틴),,15113
13103,24,치자황색소,,7764
13103,25,치자청색소,,7784
12878,1,정제수,,824
12878,2,실꼬리돔,,5716
12878,3,가다랑어(참치),,15090
12878,4,타피오카전분,,2790
12878,5,닭기름,,911
12878,6,다시마추출액,,15095
12878,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
12878,8,프락토올리고당,,8893
12878,9,옵티마이저,,15105
12878,10,젖산칼슘,,7472
12878,11,우뭇가사리(한천),,15106
12878,12,치커리추출물,,9468
12878,13,프리미엄생유산균 19종,,15114
12878,14,MEG-3,,15089
12878,15,DL-메치오닌,,6371
12878,16,스피루리나,,3585
12878,17,알긴산나트륨,,7310
12878,18,타우린,,6429
12878,19,키토산,,8862
12878,20,L-라이신,,6390
12878,21,초유단백분말,,6265
12878,22,비타민C(StayC),,15100
12878,23,프로비타민A(베타카로틴),,15113
12878,24,치자황색소,,7764
12878,25,치자청색소,,7784
12880,1,정제수,,824
12880,2,실꼬리돔,,5716
12880,3,연어,,5287
12880,4,타피오카전분,,2790
12880,5,닭기름,,911
12880,6,다시마추출액,,15095
12880,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
12880,8,프락토올리고당,,8893
12880,9,옵티마이저,,15105
12880,10,젖산칼슘,,7472
12880,11,우뭇가사리(한천),,15106
12880,12,치커리추출물,,9468
12880,13,프리미엄생유산균 19종,,15114
12880,14,MEG-3,,15089
12880,15,DL-메치오닌,,6371
12880,16,초록입홍합,,9178
12880,17,MSM,,8998
12880,18,알긴산나트륨,,7310
12880,19,타우린,,6429
12880,20,키토산,,8862
12880,21,L-라이신,,6390
12880,22,초유단백분말,,6265
12880,23,프로비타민A(베타카로틴),,15113
12880,24,치자황색소,,7764
12880,25,치자청색소,,7784
12906,1,정제수,,824
12906,2,실꼬리돔,,5716
12906,3,가다랑어(참치),,15090
12906,4,타피오카전분,,2790
12906,5,닭기름,,911
12906,6,다시마추출액,,15095
12906,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
12906,8,프락토올리고당,,8893
12906,9,옵티마이저,,15105
12906,10,젖산칼슘,,7472
12906,11,우뭇가사리(한천),,15106
12906,12,치커리추출물,,9468
12906,13,프리미엄생유산균 19종,,15114
12906,14,MEG-3,,15089
12906,15,DL-메치오닌,,6371
12906,16,초록입홍합,,9178
12906,17,MSM,,8998
12906,18,알긴산나트륨,,7310
12906,19,타우린,,6429
12906,20,키토산,,8862
12906,21,L-라이신,,6390
12906,22,초유단백분말,,6265
12906,23,프로비타민A(베타카로틴),,15113
12906,24,치자황색소,,7764
12906,25,치자청색소,,7784
